Project A,Project B,StarBased,AdjustedStarBased,StarTimeBased,ContributorBased,LanguageBased,BranchBased,ComplexityBased,SimilarityRating
golang/go,callemall/material-ui,5.722573839662448,11.50990099009901,2.035330261136713,0.290065264684554,6.25,18.181818181818183,29.346748658670354,D
golang/go,tensorflow/tensorflow,8.056224776343855,20.601161513106263,3.5999999999999996,0.515625,38.095238095238095,90.9090909090909,58.026696564483665,D
golang/go,facebook/react-native,7.740282194572232,19.67509025270758,2.4132429198244916,0.3129137080274401,47.82608695652174,40.0,51.12241309432644,D
golang/go,vuejs/vue,5.901328938602336,13.208287552974415,3.2085561497326207,0.19286403085824494,18.75,81.81818181818183,16.84253178532754,D
golang/go,electron/electron,4.128947897807282,10.31018460379254,3.41047503045067,0.345821325648415,0.0,88.0,18.247507545961767,D
golang/go,docker/docker,14.481266764731332,32.83628943650918,9.703632887189292,2.944993511031247,27.77777777777778,22.727272727272727,28.466505616989277,D
golang/go,apple/swift,8.116877572280002,18.65091822319887,10.056806227645696,0.10658140154543032,24.0,55.00000000000001,78.13574516839307,A
golang/go,nylas/nylas-mail,0.06245608556483723,10.666666666666668,62.5,0.02821670428893905,0.0,27.27272727272727,0.4253178450562517,D
golang/go,nodejs/node,9.054101093747137,19.392560037670695,4.309995953055443,0.7444168734491315,34.78260869565217,16.296296296296298,55.787300260493424,D
golang/go,Semantic-Org/Semantic-UI,5.513026560649637,10.679611650485436,2.032988108937476,0.26723677177979693,18.75,68.18181818181817,29.759657560941992,D
golang/go,neovim/neovim,6.282529835445034,15.98876103826599,3.1799163179916317,0.9987515605493134,41.66666666666667,4.545454545454546,58.80347160977283,D
golang/go,Dogfalo/materialize,4.705857845179568,9.116590661447194,1.6378928729526339,0.05388898868331237,18.75,73.33333333333333,21.778938841259333,D
golang/go,driftyco/ionic,5.364235780108039,10.598807094647622,2.2213994816734544,0.2601118480946807,23.52941176470588,59.09090909090909,58.38885082726745,D
golang/go,atom/atom,8.28399172140736,18.06231360853869,4.127742776450141,0.841995841995842,29.411764705882355,27.848101265822784,50.03607987603527,D
golang/go,chartjs/Chart.js,2.946248067546676,10.838893142294651,6.861755802219979,0.130718954248366,0.0,36.36363636363637,8.410317387725236,D
facebook/react,Microsoft/vscode,7.551253180475535,23.166300300569738,2.7304415182029436,1.122207350972923,25.0,33.68421052631579,26.209512470008157,C
facebook/react,facebook/immutable-js,11.675318082824345,42.08972845336481,7.784011220196353,5.053598774885145,30.0,9.375,20.95955188457738,A
facebook/react,callemall/material-ui,12.636826539012713,36.63808345120226,5.923513089636868,3.579604578563996,12.5,12.5,66.18763089414846,C
facebook/react,tensorflow/tensorflow,7.808349677780892,15.505307902877618,4.219893784986365,0.17041581458759372,40.0,62.5,47.36090658459606,B
facebook/react,facebook/react-native,19.875316725621534,35.761036381691795,23.887661722940994,3.6228023441662227,30.0,58.18181818181818,57.151868158624055,B
facebook/react,vuejs/vue,12.903183545132975,28.20446735395189,13.08762310894507,0.4329004329004329,22.22222222222222,56.25,55.96382499627755,A
facebook/react,electron/electron,6.2515814777327945,24.82104734396584,5.615987857323552,1.236174365647365,0.0,78.125,22.230889235569425,C
facebook/react,docker/docker,9.656102012334046,19.9045956379552,5.818406423718344,0.743417656169334,25.0,15.625,37.55136604173784,D
facebook/react,apple/swift,7.968731062901467,17.382223867181303,4.410646387832699,0.0625,27.77777777777778,80.0,41.14774433549771,D
facebook/react,nylas/nylas-mail,0.048653277284757906,16.666666666666664,8.0,0.20107238605898123,0.0,18.75,0.5181635836862046,C
facebook/react,nodejs/node,15.317020413681224,33.28339355483094,10.176522506619595,2.4663677130044843,35.294117647058826,23.703703703703706,55.14618851927871,A
facebook/react,Semantic-Org/Semantic-UI,9.036153258692488,25.689238458072182,3.9068729070323718,0.8548707753479126,10.0,46.875,43.95821670962706,C
facebook/react,neovim/neovim,4.179320545703451,17.768263312817766,2.673192771084337,0.5378858746492049,23.809523809523807,3.125,38.86169782510173,D
facebook/react,Dogfalo/materialize,7.749861837350679,22.071108600024214,3.4741268970561343,0.5211465223491683,10.0,93.75,66.65553215876494,C
facebook/react,driftyco/ionic,9.774540795721984,25.459755522507166,5.72731158284656,0.5481377371749825,18.181818181818183,40.625,57.274817499520736,C
facebook/react,atom/atom,10.21724633220478,22.970245646407566,5.610643906112715,1.7578994214508235,27.27272727272727,40.50632911392405,71.7035026062434,C
facebook/react,chartjs/Chart.js,4.247424103829758,26.91676692551679,4.672897196261682,0.4973887092762994,0.0,25.0,10.246266993536885,A
